Zachary A. Krantz, CFP®
Scott E. Anderson, CFP®
Brently J. Klontz, CFP®
George U. Nottingham, CFP®
Melissa L. Wright, CFP®
Scott A. McCaskill, CFP®
Michael J. Muldowney, CFP®
Derek T. Seo, CFP®
Kayla Benjamin, CFP®
Paul E. Brown, CFP®
William C. Hahn, CFP®
Britt C. Bazemore, CFP®
Ross  R. Berge, CFP®
John H. Hancock, CFP®
Gaurang B. Pandya, CFP®
Barry Gottlieb, CFP®
Carson E. McDaniel, CFP®
Alex B. Shurin, CFP®
Brooke S. Petersen, CFP®
Brian P. Mueller, CFP®
Brent Ulreich, CFP®
Evan M. Biggs, CFP®
Hatem Dhiab, CFP®
Trevor Herin, CFP®
Morgan N. Marx, CFP®
Christopher Enright, CFP®
Billy Muhizi, CFP®
Maria del Carmen Maisonet Gonzalez, CFP®
John N. Bertsch, CFP®
L. E. Price, CFP®
Eric E. Foster, CFP®
James A. Yocum, CFP®
Dex E. Norman, CFP®
Chris Sipes, CFP®
Austin J. Leavitt, CFP®
Brendan H. Tracz, CFP®
Stephen E. Johnson, CFP®
Jay C. Fong, CFP®
David  Rakow, CFP®
Jason A. Rozenboom, CFP®
Sean T. Johnson, CFP®
Kenneth Krause, CFP®
Brandon Mull, CFP®
Michael A. Allison, CFP®
Nora Yousif, CFP®
Bryce A. Schintzius, CFP®
Martin T. Kurtz, CFP®
Scott J. Macaione, CFP®
Leon Fridmar, CFP®
Tary B. Middlesworth, CFP®
Christopher Benchik, CFP®
Michael J. Richardson, CFP®
Sean M. Clancy, CFP®
Gretchen Stangier, CFP®
Bradley O. Haverback, CFP®
Miguel A. Delgado, CFP®
Alexandra Burton, CFP®
Jim A. Allen, CFP®
Joseph Kabaki, CFP®
Linda D. Rieke, CFP®
Elias S. Friedman, CFP®
Clint J. Gautreau, CFP®
Eric H. Ongman, CFP®
Erik A. OKeefe, CFP®
Taylor J. Elliott, CFP®
Steven Shak, CFP®
Michael D. Edwards, CFP®
James E. Quillen, CFP®
Jonathan Yashiro, CFP®
Shawn M. Johnson, CFP®
Jan T. Mohamed, CFP®
Ronald E. Ziembko, CFP®
Meredith W. Henry Jr, CFP®
Jeremiah S. Boothe, CFP®
Lauren Turner, CFP®
Daren J. Denning, CFP®
Alan L. Writer, CFP®
Robert J. Wang, CFP®
Ronnie A. Kahn, CFP®
Herbert E. Montgomery, CFP®
John F. Grady, CFP®
Brian A. Trojahn, CFP®
Curtis J. Young, CFP®
William Matson, CFP®
Aaron K. Donato, CFP®
Patrick McEnroe, CFP®
John Scollo, CFP®
Mickey S. Bryan, CFP®
Eleanor Galt-Lin, CFP®
Nicholas A. Loring, CFP®
Matthew B. Olson, CFP®
Edward Skinner, CFP®
Gary W. Holland, CFP®
Timothy Dempsey, CFP®
Philip L. Orwig, CFP®
Russell Goldstein, CFP®
Ryan Theisen, CFP®
Bryan Lennon, CFP®
Marissa S. Pattison, CFP®
Zehra Manji Candler, CFP®
Michael P. Shields, CFP®
Kristin R. Carlton, CFP®
Steven D. Lutz, CFP®
Laurie A. Schiavone, CFP®
Andrew W. Shannon, CFP®
Charles R. Kedra, CFP®
Erika L. Wolek, CFP®
Jonathan A. Vera, CFP®
Gregory R. Slater, CFP®
Clint B. Sepolio, CFP®
Adam  J. Tatroe, CFP®
Corey Gragg, CFP®
Rick D. Dobberpuhl, CFP®
Mark E. Joyner, CFP®
Cody O'Malley, CFP®
David D. Durnan, CFP®
Kirby Mack, CFP®
John D. Mahoney, CFP®
James S. Taylor, CFP®
Samuel V. Ortiz, CFP®
Dorothy C. Aydlett, CFP®
Eli M. Saline, CFP®
James L. Werst, CFP®
Thomas J. Alten, CFP®
Ryan P. McCafferty, CFP®
Kristin B. Poole, CFP®
Randall Haaff, CFP®
Jason P. Condon, CFP®
Clint R. Combs, CFP®
Nichole C. Capsello, CFP®
David R. Megarity, CFP®
Robert M. Florian, CFP®
Tammy A. Goodman, CFP®
Lisa M. Lee, CFP®
Anders Lundegard, CFP®
Joseph Lipsitz, CFP®
MacKenzie F. Barry, CFP®
Jonathan  S. Ahearn, CFP®
Michael L. Thrasher, CFP®
David M. Jackson, CFP®
Paolo Ferretti, CFP®
Galo F. Tapia, CFP®
Leah Willis, CFP®
Tyler A. Brilinski, CFP®
Devone C. McLeod, CFP®
Elizaveta McCartney, CFP®
Seth J. Hedge, CFP®
Elizabeth M. Webb, CFP®
Luke E. Iverson, CFP®
L. R. Blair, CFP®
Jason  J. Sgrignoli, CFP®
Brandon M. Steinhagen, CFP®
Gustav A. Fingado, CFP®
Charles McManus, CFP®
Brandon S. Martin, CFP®
Matthew J. Daniel, CFP®
Jesse R. Carlucci, CFP®
Janenne M. Lackey, CFP®
Gary (Zach) Smith, CFP®
Ryan S. McCarthy, CFP®
Patrick Gilligan, CFP®
Thomas Poltersdorf, CFP®
Brett Henninger, CFP®
Adam T. Poff, CFP®
Jordan L. Cantrell, CFP®
Joseph Vecchio, CFP®
Ylisa Sanford, CFP®
W. A. King, CFP®
Matthew A. Lasker, CFP®
Norman J. Savin, CFP®
Stephanie Y. Vokral, CFP®
Matthew Shetler, CFP®
Rachel R. Peddle, CFP®
Matthew R. Williams, CFP®
Trevor  Stone, CFP®
Steven C. Wellington, CFP®
Brian A. Hansen, CFP®
Glenn A. Movish, CFP®
David B. Shoaff, CFP®
Andy Winningham, CFP®
anthony r. love, CFP®
Robert E. Jackson, CFP®
Nico Morgia, CFP®
Jonathan D. Swartz, CFP®
Thom J. Foley, CFP®
Catherine S. Bragg, CFP®
Todd W. Halbrook, CFP®
Teresa A. Shea, CFP®
Judith L. Harlan, CFP®
Clark A. Page, CFP®
Michael S. Schankerman, CFP®
William Cleland, CFP®
R. Andrew Paoni, CFP®
Ankit M. Shah, CFP®
William R. Chambers, CFP®
Jeffry Dinkel, CFP®
Dylan H. Seubert, CFP®
Rachael Grattan, CFP®
Andrew A. Dalrymple, CFP®
STEVEN R. SCHUMACHER, CFP®
Amy M. Hubble, CFP®
Austin J. Warrin, CFP®
Roger S. Scott, CFP®
Jay D. Carpenter, CFP®
Matt Williams, CFP®
Rachel Barzilay, CFP®
Vincent P. Mannino, CFP®
Adam Cho, CFP®
Justin A. Klausner, CFP®
Lance C. Ludwig, CFP®
Blake Johnson, CFP®
Timothy J. Gardner, CFP®
Wayne A. Helms, CFP®
Rebecca Glasgow, CFP®
Eric Herzog, CFP®
Stephanie Rea, CFP®
Kevin H. Foster, CFP®
Rod C. Waterbury, CFP®
Steven J. Shadeed, CFP®
Justin C. Smith, CFP®
Jeffrey P. Bridges, CFP®
Richard Zerah, CFP®
James S. Hill, CFP®
Sally Kennedy, CFP®
James D. Simmons, CFP®
Diane H. Denham, CFP®
Daniel Sullivan, CFP®
Vicki L. Byrd, CFP®
Jackie Fontana, CFP®
Edward J. Semmerling IV, CFP®
Judith A. McGee, CFP®
Brian P. Broussard, CFP®
Megan P. Mills, CFP®
Timothy T. Davis, CFP®
James Palys, CFP®
Trevor Lawson, CFP®
Adam M. Mark, CFP®
Matthew Idoux, CFP®
Michael Scarafia, CFP®
Michael C. Edelman, CFP®
Ross B. Muldoon, CFP®
Margaret A. Dechant, CFP®
Matthew B. Lord, CFP®
Lawrence E. Howes, CFP®
Caron C. Bausa, CFP®
Bradley OLeary, CFP®
Brandon E. Frye, CFP®
Bart M. Weiler, CFP®
John C. Harvie, CFP®
Justin Snowden, CFP®
Sarah L. Johnson, CFP®
John A. Fierro, CFP®
Erin J. Kinkade, CFP®
Paul Stone, CFP®
Ronald A. Harczak, CFP®
Sean  P. Barrett, CFP®
Chad W. Tuschen, CFP®
Pamela Castanon, CFP®
Bryan A. Leonard, CFP®
Cameron Benson, CFP®
Byron Z. Harrell, CFP®
patrick c. bronge, CFP®
Robert F. Schneider, CFP®
Jeanne Kane, CFP®
Jane Cruickshanks, CFP®
Stewart W. Fisher, CFP®
Elizabeth V. Soto-Delgadillo, CFP®
Jarrod W. Rutledge, CFP®
Gregory F. Wendt, CFP®
Jason Howell, CFP®
Derek S. Snyder, CFP®
Diana L. Fletcher, CFP®
Jason M. Jager, CFP®
Jeremy L. Leeds, CFP®
Edward C. Danser, CFP®
Donald A. Woo, CFP®
Steven P. Reiser, CFP®
Amy D. Frizzell, CFP®
Loren M. Ipsen, CFP®
Matthew P. Murphy, CFP®
R. D. Bradshaw, CFP®
Dilini Weerasooriya, CFP®
Ryan P. Scott, CFP®
Sarah Williams, CFP®
John T. Lowe, CFP®
Scott Cengia, CFP®
Brian Lifferth, CFP®
Abigayle VanDerHeyden, CFP®
Kevin L. Shelton, CFP®
Hiral R. Shah, CFP®
Xavier J. Angel, CFP®
John O. Guzek, CFP®
Kelly L. Trageser, CFP®
Anthony D. Criscuolo, CFP®
Mark D. Aldridge, CFP®
Mark A. Ward, CFP®
William J. Thesing, CFP®
Sarah R. Filipowski, CFP®
Frank Quacinella, CFP®
Kasey P. George, CFP®
Matthew Simpson, CFP®
Jungsun S. McCubbin, CFP®
Melanie G. Brophy, CFP®
James E. Gunn, CFP®
Paul J. Elliott, CFP®
Adam J. Flagg, CFP®
Michael  Sautner , CFP®
Joel A. Larsen, CFP®
Jason M. Burt, CFP®
Eric B. Wadsworth, CFP®
Laurie A. Bitter, CFP®
James C. Steele, CFP®
Cory B. Bruntz, CFP®
Todd J. Hubley, CFP®
Gregory A. McLenithan, CFP®
Christopher T. Jurrens, CFP®
Christopher Marino, CFP®
Jonathan A. Jagolinzer, CFP®
Matthew  J. Tuttle, CFP®
Don B. Saulic, CFP®
Michael E. Ryan, CFP®
Ryan Robertshaw, CFP®
Darren J. Bernard, CFP®
Jerry Jacobs, CFP®
Kevin G. Burke, CFP®
Eric P. Steiner, CFP®
Wayne R. Rich, CFP®
Amy Moffatt, CFP®
James Gerwels, CFP®
Afolabi C. Odejimi, CFP®
Jennifer L. Beyl-Lee, CFP®
Scott A. Jeffries, CFP®
Kristopher M. Todd, CFP®
Jacob Lingard, CFP®
JOHN  S. JANIOS, CFP®
Shannon G. Kropp, CFP®
Aubrey Blasko, CFP®
Kayse A. Kress, CFP®
Matthew Stearns, CFP®
Jason Cerniglia, CFP®
Paul Avina, CFP®
John M. Schneider, CFP®
Edward J. Daffron, CFP®
Jerry M. Felts, CFP®
Howard L. Haller, CFP®
Keith Akre, CFP®
Michael Vergari, CFP®
Lori M. Carver, CFP®
Steven A. Sicklesteel, CFP®
Louis G. Clark, CFP®
John W. Skoog, CFP®
Abraham E. Walsh, CFP®
Jack J. Cortez, CFP®
Robert W. Marton, CFP®
Cathleen A. Reinhardt, CFP®
David A. Goins, CFP®
Michael J. Evans, CFP®
Patrick  C. Cummins, CFP®
Brendan Clancy, CFP®
Joshua A. Pasahow, CFP®
Timothy Moffitt, CFP®
Henry DeMatteis, CFP®
James M. Witt, CFP®
Gerald M. Schwartz, CFP®
Mary I. Self, CFP®
Kevin  Dillon , CFP®
H. L. Thacker, CFP®
Jamie N. Houston, CFP®
Katherine H. Schneider, CFP®
Alex Hamill, CFP®
Amy Burgess, CFP®
Anna Nicastro, CFP®
Paula C. Nangle, CFP®
Nancy Briguglio, CFP®
Matthew Jankowski, CFP®
Henry J. Hauhn , CFP®
Arthur R. Gallant, CFP®
Jacob A. Charlwood, CFP®
Elizabeth E. Eckert, CFP®
Cydney Jones, CFP®
Zachary R. Pittman, CFP®
Cristian Ilie, CFP®
Alex W. Purcell, CFP®
Keith A. Smith, CFP®
David F. Bello, CFP®
Jane H. Zimmerman, CFP®
Kendra R. Troncale, CFP®
Dalton Davenport, CFP®
bo lowenberg, CFP®
Clark Gingras, CFP®
Maximilian L. Benrud, CFP®
Joan E. Mashburn, CFP®
Dennis J. Slott, CFP®
Matthew C. Weinheimer, CFP®
Jonathan M. Heller, CFP®
John F. Hill, CFP®
Nathanael D. Hanft, CFP®
Nazar Shkambara, CFP®
Todd A. Perry, CFP®
Mark A. Schiller, CFP®
Matthew P. Luckham, CFP®
Carolyn P. Sullivan, CFP®
Patrick Mullin, CFP®
Richard B. Schlueter, CFP®
Benjamin C. Headlee, CFP®
Kristin R. Montgomery, CFP®
Marcus A. Hubers, CFP®
Hanna Kennedy, CFP®
Bart A. Butler, CFP®
Nafees Alam, CFP®
Kelli D. Poremba, CFP®
Jim Swanton, CFP®
Alexander Cruz, CFP®
John M. Reamer, CFP®
Joseph D. Stock, CFP®
Andrea S. Roland, CFP®
Phillips H. Ruben, CFP®
Kurt H. Ruoff, CFP®
David N. Quynn, CFP®
Rex Iozzo, CFP®
Ronald T. Burlingame, CFP®
Jay C. Bradley, CFP®
Mark A. Abadir, CFP®
Todd  Woodard, CFP®
Brian M. Bass, CFP®
Brandon B. Witt, CFP®
Michael A. Cozad, CFP®
Robert Hebert, CFP®
Katherine P. Hickey, CFP®
Josef  H. Young, CFP®
